date,open,high,low,close,volume
08/07/2014,65.6642,65.8571,62.7544,63.5785,26200958
09/07/2014,63.7399,64.1914,62.8185,63.2857,21016002
10/07/2014,62.0559,63.4556,61.1714,62.6499,24397541
11/07/2014,63.0657,63.4471,62.45,62.8514,14237132
14/07/2014,63.3285,65.0685,62.7142,64.6542,17439100
15/07/2014,64.3842,64.4813,63.1814,64.1557,13519471
16/07/2014,64.8671,65.0999,63.3428,63.4914,13452124
17/07/2014,63.3257,64.1214,62.6128,62.7657,13276389
18/07/2014,62.9728,63.4714,62.2492,63.4528,11772201
21/07/2014,64.5271,65.3571,63.9457,64.5642,34670965
22/07/2014,63.2828,63.5242,60.723,61.5842,57177918
23/07/2014,61.4871,62.2014,60.9299,61.1285,17278065
24/07/2014,61.3528,61.4584,59.8599,60.7685,18638704
25/07/2014,60.7142,61.1671,60.0571,60.2657,11616017
28/07/2014,60.3157,60.8442,59.7885,60.6657,11960907
29/07/2014,60.4585,61.1985,60.4585,60.6114,9287369
30/07/2014,60.6785,62.1842,60.6157,62.0514,15306193
31/07/2014,61.4657,61.8528,60.1842,60.3885,13827009
01/08/2014,60.2514,61.1037,58.9299,60.7714,18949987
04/08/2014,61.0285,61.4285,60.1114,60.3857,10694607
05/08/2014,60.1857,61.1428,60.0442,60.4071,10665487
06/08/2014,60.1428,62.1285,60.0785,61.4714,15840573
07/08/2014,62.1857,64.2785,62.0785,64.2385,27334916
08/08/2014,64.3142,64.4242,63.1499,63.6928,15506120
11/08/2014,64.1742,65.3785,64.1014,64.5056,13253779
12/08/2014,64.4785,64.7142,63.3442,63.7728,10849524
13/08/2014,64.0857,64.8878,63.8314,64.5042,9051903
14/08/2014,64.6014,64.9999,64.0314,64.4099,6676369
15/08/2014,64.4985,65.9999,64.0857,65.5842,22053577
18/08/2014,66.0085,67.0714,65.8928,66.5714,13522061
19/08/2014,66.7271,67.2142,66.0614,66.8785,10907015
20/08/2014,66.7142,67.6785,66.3629,67.4556,12170830
21/08/2014,67.3256,68.0214,66.8101,67.4356,11753280
22/08/2014,67.2771,68.507,67.1499,68.4556,13746516
25/08/2014,68.7928,69.3285,68.2185,68.7042,13503882
26/08/2014,68.3571,68.8356,67.7929,68.4799,10158379
27/08/2014,68.4856,68.6064,67.6614,67.8142,10394909
28/08/2014,67.5214,68.2114,67.2585,67.8871,7601867
29/08/2014,68.1214,68.6428,67.7342,68.2342,9839410
02/09/2014,68.3571,68.3985,67.7985,68.0856,8834532
03/09/2014,68.6456,69.6571,68.0756,68.1985,16227498
04/09/2014,68.4442,68.8128,67.4471,67.5242,11962335
05/09/2014,67.6042,68.1928,67.1528,67.9542,11953340
08/09/2014,67.7714,68.6571,67.7428,68.4756,7675514
09/09/2014,69.4714,69.898,68.0571,68.4299,19755036
10/09/2014,68.5999,69.2499,68.148,69.1985,9110731
11/09/2014,68.9385,69.1942,68.5242,68.7942,7869988
12/09/2014,69.0928,69.2699,68.0171,68.0785,13432153
15/09/2014,68.2199,68.2199,65.2642,65.3928,20616771
16/09/2014,64.0571,65.4485,63.6571,65.2728,26844013
17/09/2014,65.2728,65.5521,64.4699,64.9328,12135655
18/09/2014,65.3528,65.9085,64.7599,65.5728,10631341
19/09/2014,65.8571,65.9042,64.8814,65.3599,11962755
22/09/2014,65.1814,65.2785,62.6971,63.2542,16176874
23/09/2014,63.0328,64.0014,62.9285,63.4142,11474295
24/09/2014,63.4942,64.5228,63.2199,64.3656,9556603
25/09/2014,64.2714,64.6214,63.2028,63.3557,9853270
26/09/2014,63.5714,64.3771,63.4128,64.1071,10404695
