ID;Tipo;Dirección;Número;Ubicación;Ciudad;Precio;Habitaciones;Metros_Cuadrados;Planta;Planta_Descripcion;Exterior;Ascensor;Parking;Agencia;Enlace;Descripción
108746650;Piso;Calle Cabrales;s/n;Centro - Puerto;Gijón;395000;4;144;;2ª;Exterior;Sí;No;DoCasa;https://www.idealista.com/inmueble/108746650/;¡Descubre la oportunidad de tu vida en este amplio piso ubicado en la codiciada calle Cabrales, a solo un minuto a pie de la emblemática Playa de San Lorenzo! Este inmueble ofrece una distribución funcional actual que permite personalizar cada rincón a tu gusto. Con 4 dormitorios y 2 baños, hay espacio suficiente para
108903989;Piso;Calle Dindurra;21;Centro - San Lorenzo;Gijón;249000;2;85;;8ª;Interior;Sí;No;DISTRITO ESTE, Inmobiliaria & Ingeniería;https://www.idealista.com/inmueble/108903989/;La inmobiliaria Distrito Este les presenta, en exclusiva de venta, esta vivienda situada en la calle Dindurra, junto a la calle Uría y la Plazuela San Miguel. Ubicada en pleno centro de la ciudad, con todos los servicios en la zona y a un paso de la Playa San Lorenzo. Se trata de una 8ª planta con vistas muy abiertas
109975282;Piso;Calle Marqués de San Esteban;s/n;Centro - Puerto;Gijón;350000;3;81;;8ª;Exterior;Sí;No;Particular / Desconocido;https://www.idealista.com/inmueble/109975282/;En ESTUDIO ROBLE ponemos a la venta este piso con una ubicación inmejorable, en segunda línea de playa (Poniente), a 5 minutos de la Estación de Autobuses(clase supra y aeropuerto)  y 10 de la Estación de Tren A PIE, con todos los servicios en la zona (farmacia, varios parcking, supermercados... ) Consta de tres dormi
109905167;Piso;Avenida de Portugal;s/n;Laviada;Gijón;330000;4;125;;7ª;Exterior;Sí;Sí;Inmobiliaria avendaño;https://www.idealista.com/inmueble/109905167/;PISAZO CON GARAJE Magnífico piso en venta situado en la Avenida de Portugal, en el corazón de Gijón, a escasos 5 minutos de la PLAYA PONIENTE y de la plaza del HUMEDAL. Este amplio piso, ubicado en una privilegiada zona cercana al centro de la ciudad, te ofrece todo lo que necesitas para disfrutar de la vida. Es un espacio perfecto para
109258370;Piso;Calle Aller;s/n;Centro - Puerto;Gijón;275000;2;77;;1ª;Exterior;Sí;No;ROYAL PREMIUM Inmobiliarios;https://www.idealista.com/inmueble/109258370/;VIVE A UN PASO DE LA PLAZA DE EUROPA y del Paseo de Begoña ROYAL PREMIUM tiene el placer de presentarles en EXCLUSIVA ésta vivienda en una de la zonas más demandadas de Gijón. Zona Plaza Europa. PASEO DE BEGOÑA Dispone de 77 m2, distribuidos en Salón, Cocina, 2 Dormitorios 1 con baño con plato de ducha EN SUITE y PA
108845168;Piso;Calle Fermin Canella;s/n;Laviada;Gijón;265000;4;109;;1ª;Exterior;Sí;No;Roza & Penabad Servicios Inmobiliarios;https://www.idealista.com/inmueble/108845168/;Roza & Penabad VENDE Piso en la calle Fermín Canella, en la zona de Laviada - Centro. Con todos los servicios a pie de calle, colegios, farmacias, supermercados, muy cerca de la estación de ALSA, y a escasos minutos andando del centro de Gijón. Con buena conexión de carreteras y de transporte público. El inmueble, q
109817149;Piso;Calle Donato Argüelles;16;Centro - Puerto;Gijón;294500;2;74;;3ª;Exterior;Sí;No;EurocasaGijon;https://www.idealista.com/inmueble/109817149/;Presentamos una magnífica oportunidad de adquirir un Magnifico piso en venta ubicado en la codiciada zona centro.  A 2 minutos de la Plaza 6 de Agosto,Calle Corrida y Plaza de Europa y a 5 minutos de la Playa San Lorenzo Este es un lugar ideal para aquellos que desean disfrutar de la comodidad y las ventajas de vi
106284646;Piso;Calle Cabrales;s/n;Centro - San Lorenzo;Gijón;264000;3;88;;3ª;Exterior;Sí;No;INMOBILIARIA CANTABRICO GIJON;https://www.idealista.com/inmueble/106284646/;Piso para entrar a vivir en el centro de la ciudad, misma calle Cabrales, totalmente reformado, a 10 minutos andando de la Playa de san Lorenzo, Gijón, Asturias. Tres habitaciones una de ellas con baño en suite, amplio salón comedor, cocina completamente equipada con electrodomésticos, y otro baño que da servicio al re
110030452;Piso;Avenida Humedal;s/n;Centro - Puerto;Gijón;450000;4;171;;9ª;Exterior;Sí;Sí;Particular / Desconocido;https://www.idealista.com/inmueble/110030452/;¡Descubre este espectacular piso en el corazón de Gijón! Con unas impresionantes vistas al mar y al emblemático Elogio del Horizonte, este hogar es un verdadero oasis urbano. Desde la terraza, podrás disfrutar de la vibrante vida de la plaza del Humedal y la majestuosidad de la iglesia San José. Con 171 m² construidos,
107671902;Ático;Centro - Puerto;s/n;Centro - Puerto;Gijón;339000;2;80;;15ª;Exterior;Sí;No;Look and find gijon;https://www.idealista.com/inmueble/107671902/;¡Descubre tu nuevo hogar en el corazón de Gijón! Presentamos una oportunidad única de adquirir un magnífico piso en venta, estratégicamente situado en la codiciada zona Centro de Gijón. Este ático en la planta 15 del edificio, con fachada ventilada reformada hace 4 años. Ofrece una ubicación privilegiada, sino también
